theta,eta
0.8,if (t > 2020.18169399) then (380.4256351069014*exp(0.8*-51.68986449810366*(t-2020.18169399))) else if (t > 2020.0511430143656) then (exp(0.8*56.887337283993205*(t-2020.0511430143656))) else 0.0
0.9,if (t > 2020.18169399) then (799.4724383374007*exp(0.9*-51.68986449810366*(t-2020.18169399))) else if (t > 2020.0511430143656) then (exp(0.9*56.887337283993205*(t-2020.0511430143656))) else 0.0
1.0,if (t > 2020.18169399) then (1680.1080702186186*exp(1*-51.68986449810366*(t-2020.18169399))) else if (t > 2020.0511430143656) then (exp(1*56.887337283993205*(t-2020.0511430143656))) else 0.0
1.1,if (t > 2020.18169399) then (3530.782291236971*exp(1.1*-51.68986449810366*(t-2020.18169399))) else if (t > 2020.0511430143656) then (exp(1.1*56.887337283993205*(t-2020.0511430143656))) else 0.0
1.2,if (t > 2020.18169399) then (7420.012920056034*exp(1.2*-51.68986449810366*(t-2020.18169399))) else if (t > 2020.0511430143656) then (exp(1.2*56.887337283993205*(t-2020.0511430143656))) else 0.0
