Parameter,Prior,p_h=0.02,p_h=0.05,p_h=0.1,p_h=0.2,p_h=0.5,p_h=0.8
Posterior,,-46392 (-46447 -46341),-46339 (-46399 -46293),-46389 (-46435 -46316),-46373 (-46436 -46321),-46379 (-46424 -46334),-46379 (-46431 -46324)
Tree height,,0.375 (0.329 0.431),0.435 (0.338 0.494),0.398 (0.344 0.483),0.397 (0.343 0.460),0.421 (0.362 0.488),0.471 (0.410 0.544)
Clock rate,"Uniform(5.0e-4, 2.0e-3)",7.06e-04 (5.94e-04 8.61e-04),6.03e-04 (5.17e-04 8.14e-04),6.20e-04 (5.00e-04 7.27e-04),6.33e-04 (5.42e-04 7.35e-04),6.04e-04 (5.12e-04 6.88e-04),5.38e-04 (5.00e-04 5.97e-04)
κ,"Lognormal(M=1.0, SD=1.25)",3.699 (3.055 4.405),3.718 (3.009 4.404),3.724 (3.077 4.515),3.739 (3.098 4.454),3.691 (2.991 4.433),3.703 (3.061 4.438)
γ,Exponential(M=1.0),3.50e-02 (1.03e-03 8.47e-02),3.59e-02 (1.39e-03 8.92e-02),3.53e-02 (1.06e-03 8.63e-02),3.72e-02 (1.14e-03 8.99e-02),3.52e-02 (1.27e-03 9.11e-02),3.39e-02 (1.03e-03 8.23e-02)
R₀,"Lognormal(M=1.5, SD=0.5)",2.94 (2.57 3.31),2.57 (2.29 2.85),2.25 (2.00 2.72),2.13 (1.95 2.34),2.14 (1.95 2.31),2.22 (2.07 2.42)
α,"Uniform(0.0, 2.0)",0.27 (0.08 0.57),0.29 (0.08 0.69),0.28 (0.10 0.62),0.18 (0.04 0.38),0.15 (0.05 0.33),0.15 (0.04 0.37)
E₀,Expoenential(M=1.0),11.22 (6.25 17.19),18.17 (8.53 24.04),19.96 (16.05 25.55),11.80 (7.88 14.31),5.33 (4.11 6.61),4.17 (3.75 4.71)
Y₀,Exponential(M=1.0),8.85e-03 (2.72e-03 2.13e-02),4.56e-02 (2.61e-03 1.35e-01),1.78e-02 (5.16e-03 1.12e-01),1.57e-02 (3.12e-03 5.08e-02),2.84e-02 (8.84e-03 8.63e-02),9.58e-02 (3.68e-02 2.90e-01)
