Parameter,Prior,p_h=0.02,p_h=0.05,p_h=0.1,p_h=0.2,p_h=0.5,p_h=0.8
Posterior,,-46359 (-46429 -46296),-46375 (-46426 -46320),-46382 (-46434 -46333),-46383 (-46439 -46335),-46379 (-46444 -46298),-46372 (-46434 -46305)
Tree height,,0.394 (0.338 0.465),0.375 (0.327 0.432),0.371 (0.325 0.430),0.363 (0.324 0.427),0.362 (0.323 0.425),0.369 (0.326 0.431)
Clock rate,"Uniform(5.0e-4, 2.0e-3)",7.60e-04 (6.23e-04 8.93e-04),7.83e-04 (6.87e-04 8.96e-04),7.83e-04 (6.74e-04 9.16e-04),8.10e-04 (6.85e-04 9.33e-04),7.97e-04 (6.79e-04 9.12e-04),7.72e-04 (6.74e-04 8.82e-04)
κ,"Lognormal(M=1.0, SD=1.25)",3.741 (3.068 4.507),3.739 (3.114 4.505),3.708 (3.116 4.532),3.704 (3.066 4.392),3.733 (3.044 4.530),3.765 (3.086 4.450)
γ,Exponential(M=1.0),3.52e-02 (1.03e-03 8.89e-02),3.61e-02 (1.02e-03 8.48e-02),3.81e-02 (1.04e-03 8.99e-02),3.60e-02 (1.07e-03 9.15e-02),3.50e-02 (1.24e-03 8.81e-02),3.51e-02 (1.02e-03 8.78e-02)
R₀,"Lognormal(M=1.5, SD=0.5)",2.74 (2.47 3.13),2.32 (2.11 2.56),2.10 (1.90 2.31),1.97 (1.80 2.14),1.96 (1.71 2.17),2.08 (1.81 2.44)
α,"Uniform(0.0, 2.0)",0.25 (0.11 0.49),0.26 (0.09 0.47),0.28 (0.12 0.52),0.26 (0.07 0.56),0.12 (0.02 0.36),0.05 (0.02 0.26)
E₀,Expoenential(M=1.0),14.42 (6.51 23.58),17.19 (9.51 25.18),16.01 (10.05 22.30),10.34 (6.67 14.68),4.15 (1.98 6.47),1.77 (0.37 3.36)
Y₀,Exponential(M=1.0),9.11e-03 (4.69e-03 1.67e-02),6.40e-03 (3.83e-03 1.02e-02),5.38e-03 (2.87e-03 8.66e-03),4.64e-03 (2.82e-03 7.46e-03),4.63e-03 (3.01e-03 6.83e-03),6.03e-03 (3.66e-03 9.42e-03)
