Parameter,Prior,p_h=0.02,p_h=0.05,p_h=0.1,p_h=0.2,p_h=0.5,p_h=0.8
Posterior,,-46404 (-46444 -46360),-46403 (-46459 -46341),-46376 (-46428 -46302),-46318 (-46398 -46257),-46355 (-46406 -46301),-46344 (-46384 -46299)
Tree height,,0.394 (0.344 0.448),0.377 (0.330 0.438),0.407 (0.357 0.453),0.445 (0.387 0.500),0.473 (0.419 0.529),0.450 (0.403 0.496)
Clock rate,"Uniform(5.0e-4, 2.0e-3)",6.75e-04 (5.60e-04 7.81e-04),7.29e-04 (5.81e-04 8.75e-04),6.62e-04 (5.68e-04 7.53e-04),6.16e-04 (5.34e-04 6.91e-04),5.46e-04 (5.00e-04 6.20e-04),6.31e-04 (5.66e-04 7.05e-04)
κ,"Lognormal(M=1.0, SD=1.25)",3.709 (3.074 4.455),3.746 (3.119 4.534),3.727 (3.068 4.507),3.718 (3.045 4.478),3.694 (3.139 4.518),3.683 (3.090 4.525)
γ,Exponential(M=1.0),3.56e-02 (1.10e-03 8.78e-02),3.37e-02 (1.28e-03 8.77e-02),3.76e-02 (1.03e-03 9.27e-02),3.76e-02 (1.00e-03 8.98e-02),3.46e-02 (1.23e-03 8.77e-02),3.57e-02 (1.64e-03 9.15e-02)
R₀,"Lognormal(M=1.5, SD=0.5)",3.03 (2.64 3.56),2.52 (2.16 2.94),2.09 (1.88 2.35),2.25 (2.09 2.56),2.20 (1.96 2.47),2.16 (2.02 2.29)
α,"Uniform(0.0, 2.0)",0.26 (0.06 0.78),0.24 (0.08 0.51),0.22 (0.08 0.47),0.24 (0.08 0.49),0.18 (0.04 0.44),0.14 (0.04 0.31)
E₀,Expoenential(M=1.0),11.29 (5.93 18.48),10.61 (5.33 17.85),21.86 (17.25 25.48),8.13 (4.73 12.73),5.59 (3.58 8.27),3.12 (2.83 3.66)
Y₀,Exponential(M=1.0),1.14e-02 (4.64e-03 2.60e-02),7.76e-03 (2.49e-03 2.41e-02),1.38e-02 (6.91e-03 2.49e-02),3.29e-02 (1.32e-02 7.50e-02),6.82e-02 (2.18e-02 1.74e-01),4.82e-02 (2.75e-02 8.72e-02)
