Parameter,Prior,p_h=0.02,p_h=0.05,p_h=0.1,p_h=0.2,p_h=0.5,p_h=0.8
Posterior,,-46384 (-46439 -46323),-46395 (-46458 -46334),,-46388 (-46454 -46326),-46396 (-46466 -46335),-46392 (-46451 -46325)
Tree height,,0.361 (0.323 0.430),0.370 (0.323 0.428),,0.362 (0.323 0.426),0.360 (0.323 0.426),0.360 (0.322 0.421)
Clock rate,"Uniform(5.0e-4, 2.0e-3)",7.74e-04 (6.21e-04 8.97e-04),7.84e-04 (6.63e-04 9.06e-04),,8.13e-04 (6.91e-04 9.53e-04),8.03e-04 (6.83e-04 9.24e-04),7.98e-04 (6.94e-04 9.16e-04)
κ,"Lognormal(M=1.0, SD=1.25)",3.738 (3.104 4.464),3.743 (3.148 4.552),,3.694 (3.093 4.511),3.732 (3.040 4.401),3.712 (3.090 4.425)
γ,Exponential(M=1.0),3.55e-02 (1.00e-03 8.73e-02),3.80e-02 (1.16e-03 8.87e-02),,3.55e-02 (1.01e-03 8.91e-02),3.97e-02 (1.90e-03 8.98e-02),3.84e-02 (1.02e-03 9.09e-02)
R₀,"Lognormal(M=1.5, SD=0.5)",2.84 (2.52 3.26),2.36 (2.10 2.63),,2.06 (1.84 2.31),2.04 (1.83 2.31),2.07 (1.87 2.28)
α,"Uniform(0.0, 2.0)",0.27 (0.10 0.55),0.24 (0.11 0.49),,0.21 (0.07 0.41),0.17 (0.03 0.38),0.11 (0.03 0.27)
E₀,Expoenential(M=1.0),12.47 (6.68 19.79),15.30 (9.03 23.18),,8.42 (4.88 12.97),4.27 (1.85 7.04),2.90 (1.54 4.79)
Y₀,Exponential(M=1.0),5.39e-03 (3.01e-03 1.23e-02),4.56e-03 (2.50e-03 8.35e-03),,3.26e-03 (1.70e-03 7.37e-03),3.27e-03 (1.96e-03 5.16e-03),3.35e-03 (2.24e-03 4.93e-03)
