Parameter,Prior,p_h=0.02,p_h=0.05,p_h=0.1,p_h=0.2,p_h=0.5,p_h=0.8
Posterior,,-46338 (-46385 -46296),-46323 (-46371 -46275),-46335 (-46400 -46275),-46335 (-46412 -46262),-46452 (-46525 -46388),-46448 (-46510 -46390)
Tree height,,0.348 (0.326 0.369),0.341 (0.323 0.362),0.340 (0.323 0.366),0.340 (0.325 0.359),0.417 (0.391 0.443),0.417 (0.391 0.444)
Clock rate,"Uniform(5.0e-4, 2.0e-3)",7.70e-04 (6.52e-04 8.90e-04),7.81e-04 (6.84e-04 8.94e-04),7.82e-04 (6.62e-04 9.20e-04),7.68e-04 (6.39e-04 8.91e-04),5.19e-04 (5.00e-04 5.79e-04),5.15e-04 (5.00e-04 5.54e-04)
κ,"Lognormal(M=1.0, SD=1.25)",3.739 (3.015 4.377),3.721 (3.105 4.471),3.713 (3.055 4.429),3.686 (3.076 4.435),3.681 (3.046 4.429),3.688 (2.975 4.359)
γ,Exponential(M=1.0),3.53e-02 (1.17e-03 8.13e-02),3.56e-02 (1.05e-03 9.57e-02),3.78e-02 (1.01e-03 9.14e-02),3.79e-02 (1.23e-03 9.21e-02),3.68e-02 (1.02e-03 9.42e-02),3.75e-02 (1.08e-03 8.69e-02)
R₀,"Lognormal(M=1.5, SD=0.5)",2.83 (2.58 3.17),2.44 (2.18 2.69),2.17 (1.91 2.38),2.05 (1.79 2.37),1.01 (1.00 1.05),1.06 (1.00 1.14)
α,"Uniform(0.0, 2.0)",0.27 (0.11 0.54),0.27 (0.14 0.48),0.30 (0.15 0.50),0.29 (0.17 0.44),0.55 (0.38 0.74),0.41 (0.25 0.59)
E₀,Expoenential(M=1.0),10.88 (6.51 15.44),10.56 (6.93 15.36),9.31 (4.64 13.16),4.80 (2.38 8.79),2.01 (1.40 2.63),1.82 (1.27 2.39)
Y₀,Exponential(M=1.0),1.46e-02 (8.50e-03 2.38e-02),1.10e-02 (6.63e-03 1.60e-02),1.01e-02 (5.00e-03 1.75e-02),9.90e-03 (5.06e-03 1.87e-02),8.67e-02 (4.53e-02 1.38e-01),9.12e-02 (5.60e-02 1.36e-01)
