Parameter,Prior,p_h=0.02,p_h=0.05,p_h=0.1,p_h=0.2,p_h=0.5,p_h=0.8
Posterior,,-46335 (-46377 -46289),-46327 (-46379 -46279),-46326 (-46382 -46263),-46306 (-46363 -46253),-46365 (-46424 -46315),-46428 (-46478 -46380)
Tree height,,0.355 (0.327 0.381),0.348 (0.328 0.370),0.344 (0.326 0.364),0.444 (0.425 0.466),0.436 (0.412 0.464),0.439 (0.414 0.463)
Clock rate,"Uniform(5.0e-4, 2.0e-3)",7.21e-04 (6.21e-04 8.30e-04),7.66e-04 (6.57e-04 8.80e-04),7.87e-04 (6.71e-04 9.08e-04),5.07e-04 (5.00e-04 5.30e-04),5.07e-04 (5.00e-04 5.29e-04),5.05e-04 (5.00e-04 5.22e-04)
κ,"Lognormal(M=1.0, SD=1.25)",3.712 (3.017 4.416),3.726 (3.050 4.425),3.725 (3.073 4.472),3.696 (3.057 4.427),3.682 (3.055 4.400),3.700 (3.058 4.495)
γ,Exponential(M=1.0),3.96e-02 (1.12e-03 9.39e-02),3.38e-02 (1.15e-03 8.39e-02),3.49e-02 (1.26e-03 8.90e-02),3.69e-02 (1.16e-03 9.11e-02),3.67e-02 (1.02e-03 8.53e-02),3.47e-02 (1.01e-03 8.95e-02)
R₀,"Lognormal(M=1.5, SD=0.5)",2.86 (2.58 3.19),2.39 (2.14 2.68),2.25 (1.95 2.52),1.02 (1.00 1.06),1.03 (1.00 1.09),1.11 (1.03 1.18)
α,"Uniform(0.0, 2.0)",0.27 (0.11 0.52),0.32 (0.16 0.54),0.32 (0.19 0.54),0.82 (0.62 0.99),0.68 (0.49 0.88),0.49 (0.34 0.68)
E₀,Expoenential(M=1.0),11.61 (6.50 17.27),10.88 (4.52 17.09),5.95 (2.84 9.63),2.55 (2.12 2.82),2.04 (1.51 2.60),1.57 (1.14 2.10)
Y₀,Exponential(M=1.0),2.22e-02 (1.37e-02 3.43e-02),1.79e-02 (9.95e-03 2.86e-02),1.27e-02 (8.02e-03 1.83e-02),1.65e-01 (1.09e-01 2.48e-01),1.49e-01 (9.60e-02 2.29e-01),1.49e-01 (9.54e-02 2.21e-01)
