Parameter,Prior,p_h=0.02,p_h=0.05,p_h=0.1,p_h=0.2,p_h=0.5,p_h=0.8
Posterior,,-46297 (-46336 -46255),-46348 (-46389 -46310),-46339 (-46387 -46283),-46372 (-46435 -46304),-46461 (-46537 -46387),-46453 (-46508 -46402)
Tree height,,0.347 (0.327 0.365),0.347 (0.329 0.371),0.342 (0.326 0.361),0.341 (0.326 0.361),0.418 (0.389 0.449),0.406 (0.381 0.429)
Clock rate,"Uniform(5.0e-4, 2.0e-3)",7.69e-04 (6.89e-04 8.49e-04),7.16e-04 (6.25e-04 8.20e-04),7.72e-04 (6.71e-04 8.76e-04),7.59e-04 (6.54e-04 8.76e-04),5.14e-04 (5.00e-04 5.58e-04),5.19e-04 (5.00e-04 5.72e-04)
κ,"Lognormal(M=1.0, SD=1.25)",3.724 (3.038 4.482),3.687 (3.006 4.401),3.739 (3.049 4.506),3.730 (3.062 4.471),3.706 (3.011 4.417),3.696 (3.014 4.482)
γ,Exponential(M=1.0),3.74e-02 (1.76e-03 9.01e-02),3.27e-02 (1.11e-03 8.34e-02),3.59e-02 (1.12e-03 9.61e-02),3.98e-02 (1.09e-03 9.02e-02),3.90e-02 (2.30e-03 9.58e-02),3.70e-02 (1.66e-03 8.99e-02)
R₀,"Lognormal(M=1.5, SD=0.5)",3.02 (2.75 3.26),2.60 (2.37 2.95),2.14 (1.97 2.38),2.11 (1.87 2.39),1.01 (1.00 1.04),1.07 (1.00 1.15)
α,"Uniform(0.0, 2.0)",0.25 (0.12 0.46),0.31 (0.13 0.63),0.30 (0.17 0.54),0.34 (0.20 0.59),0.56 (0.39 0.74),0.39 (0.24 0.58)
E₀,Expoenential(M=1.0),5.78 (3.94 8.54),9.92 (6.12 13.84),9.95 (6.03 13.84),5.17 (2.48 10.04),1.69 (1.20 2.27),1.83 (1.25 2.38)
Y₀,Exponential(M=1.0),1.31e-02 (8.60e-03 1.89e-02),1.29e-02 (8.76e-03 1.99e-02),1.10e-02 (6.03e-03 1.60e-02),9.08e-03 (5.68e-03 1.45e-02),8.50e-02 (4.19e-02 1.29e-01),7.75e-02 (4.71e-02 1.16e-01)
