Parameter,Prior,p_h=0.02,p_h=0.05,p_h=0.1,p_h=0.2,p_h=0.5,p_h=0.8
Posterior,,-46363 (-46426 -46311),-46370 (-46436 -46310),-46392 (-46441 -46330),-46374 (-46436 -46325),-46396 (-46455 -46339),-46347 (-46442 -46276)
Tree height,,0.368 (0.323 0.437),0.358 (0.323 0.429),0.360 (0.322 0.420),0.359 (0.322 0.414),0.361 (0.323 0.420),0.360 (0.323 0.420)
Clock rate,"Uniform(5.0e-4, 2.0e-3)",8.01e-04 (6.49e-04 9.37e-04),8.24e-04 (6.73e-04 9.97e-04),7.87e-04 (6.82e-04 8.98e-04),8.41e-04 (7.21e-04 9.55e-04),7.98e-04 (6.82e-04 9.03e-04),8.35e-04 (7.04e-04 9.62e-04)
κ,"Lognormal(M=1.0, SD=1.25)",3.770 (3.041 4.455),3.737 (3.055 4.444),3.743 (3.099 4.500),3.710 (2.982 4.388),3.704 (3.087 4.432),3.732 (3.067 4.526)
γ,Exponential(M=1.0),3.76e-02 (1.01e-03 9.23e-02),3.81e-02 (1.05e-03 9.01e-02),3.79e-02 (1.10e-03 9.37e-02),3.91e-02 (1.04e-03 8.88e-02),3.89e-02 (1.14e-03 8.76e-02),3.56e-02 (1.04e-03 8.58e-02)
R₀,"Lognormal(M=1.5, SD=0.5)",2.66 (2.36 3.06),2.29 (1.96 2.62),2.16 (1.94 2.40),1.97 (1.78 2.18),1.99 (1.78 2.22),1.98 (1.69 2.35)
α,"Uniform(0.0, 2.0)",0.25 (0.10 0.45),0.29 (0.12 0.53),0.26 (0.09 0.50),0.26 (0.08 0.52),0.15 (0.03 0.38),0.05 (0.02 0.21)
E₀,Expoenential(M=1.0),15.33 (7.65 24.34),15.92 (7.50 26.28),13.07 (7.63 19.05),9.60 (5.76 13.70),4.79 (2.82 7.16),2.27 (0.44 3.94)
Y₀,Exponential(M=1.0),5.77e-03 (2.51e-03 1.33e-02),4.38e-03 (2.34e-03 9.65e-03),4.56e-03 (2.70e-03 8.19e-03),3.22e-03 (1.98e-03 5.29e-03),3.64e-03 (2.42e-03 5.72e-03),3.84e-03 (2.36e-03 5.96e-03)
