Parameter,Prior,p_h=0.02,p_h=0.05,p_h=0.1,p_h=0.2,p_h=0.5,p_h=0.8
Posterior,,-46351 (-46400 -46310),-46378 (-46435 -46321),-46385 (-46436 -46331),-46355 (-46415 -46297),-46346 (-46427 -46274),-46406 (-46456 -46358)
Tree height,,0.422 (0.368 0.488),0.407 (0.354 0.474),0.392 (0.337 0.456),0.379 (0.329 0.437),0.367 (0.327 0.422),0.381 (0.338 0.437)
Clock rate,"Uniform(5.0e-4, 2.0e-3)",7.46e-04 (6.52e-04 8.41e-04),7.43e-04 (6.39e-04 8.65e-04),7.60e-04 (6.55e-04 8.94e-04),7.82e-04 (6.78e-04 9.09e-04),7.52e-04 (6.44e-04 8.81e-04),6.92e-04 (5.96e-04 8.01e-04)
κ,"Lognormal(M=1.0, SD=1.25)",3.686 (3.062 4.395),3.683 (3.043 4.458),3.713 (3.091 4.422),3.717 (3.029 4.462),3.689 (3.012 4.392),3.669 (3.016 4.399)
γ,Exponential(M=1.0),3.88e-02 (1.13e-03 8.46e-02),3.76e-02 (1.09e-03 8.78e-02),3.67e-02 (1.04e-03 9.03e-02),3.75e-02 (1.01e-03 9.39e-02),3.61e-02 (1.31e-03 8.70e-02),3.73e-02 (1.12e-03 9.24e-02)
R₀,"Lognormal(M=1.5, SD=0.5)",2.80 (2.51 3.13),2.33 (2.11 2.62),2.14 (1.91 2.37),1.91 (1.69 2.13),2.33 (1.75 2.70),2.54 (2.11 3.18)
α,"Uniform(0.0, 2.0)",0.27 (0.13 0.52),0.30 (0.13 0.56),0.32 (0.12 0.60),0.15 (0.03 0.40),0.06 (0.02 0.23),0.12 (0.02 0.29)
E₀,Expoenential(M=1.0),13.47 (6.82 21.96),17.31 (9.80 26.52),14.30 (8.12 21.25),10.54 (6.14 15.98),0.98 (0.28 3.87),0.60 (0.04 1.83)
Y₀,Exponential(M=1.0),1.38e-02 (9.24e-03 1.98e-02),1.15e-02 (6.26e-03 1.91e-02),8.82e-03 (4.80e-03 1.35e-02),7.10e-03 (3.68e-03 1.08e-02),8.02e-03 (4.16e-03 1.41e-02),9.90e-03 (5.60e-03 1.88e-02)
