Parameter,Prior,p_h=0.02,p_h=0.05,p_h=0.1,p_h=0.2,p_h=0.5,p_h=0.8
Posterior,,-46448 (-46483 -46384),-46413 (-46465 -46358),-46425 (-46483 -46357),-46406 (-46469 -46343),-46401 (-46462 -46347),-46421 (-46481 -46360)
Tree height,,0.531 (0.363 0.592),0.377 (0.326 0.443),0.384 (0.330 0.455),0.367 (0.323 0.434),0.356 (0.322 0.413),0.358 (0.323 0.426)
Clock rate,"Uniform(5.0e-4, 2.0e-3)",6.39e-04 (5.54e-04 7.76e-04),7.37e-04 (6.10e-04 8.83e-04),7.36e-04 (6.07e-04 8.87e-04),7.81e-04 (6.22e-04 9.26e-04),8.09e-04 (6.84e-04 9.24e-04),7.68e-04 (6.57e-04 8.87e-04)
κ,"Lognormal(M=1.0, SD=1.25)",3.694 (3.012 4.411),3.719 (3.111 4.484),3.738 (3.076 4.463),3.702 (3.028 4.422),3.720 (3.125 4.499),3.710 (3.061 4.444)
γ,Exponential(M=1.0),3.69e-02 (1.06e-03 9.28e-02),3.51e-02 (1.05e-03 8.99e-02),3.53e-02 (1.02e-03 8.85e-02),3.90e-02 (1.08e-03 9.32e-02),3.78e-02 (1.59e-03 8.75e-02),3.71e-02 (1.01e-03 8.85e-02)
R₀,"Lognormal(M=1.5, SD=0.5)",4.20 (2.82 4.28),2.52 (2.21 2.86),2.31 (2.05 2.56),2.11 (1.87 2.40),2.04 (1.86 2.24),2.11 (1.89 2.33)
α,"Uniform(0.0, 2.0)",0.23 (0.11 1.34),0.27 (0.10 0.54),0.25 (0.09 0.51),0.25 (0.07 0.52),0.20 (0.05 0.43),0.15 (0.03 0.34)
E₀,Expoenential(M=1.0),1.07 (0.80 12.46),12.06 (6.42 19.44),10.19 (5.80 15.62),8.80 (4.59 13.85),4.60 (2.52 7.46),3.25 (1.90 5.15)
Y₀,Exponential(M=1.0),6.96e-01 (6.33e-03 7.51e-01),6.61e-03 (1.88e-03 1.64e-02),6.72e-03 (2.34e-03 1.40e-02),3.44e-03 (1.52e-03 1.49e-02),2.89e-03 (1.87e-03 4.48e-03),3.35e-03 (2.17e-03 6.23e-03)
