Parameter,Prior,p_h=0.02,p_h=0.05,p_h=0.1,p_h=0.2,p_h=0.5,p_h=0.8
Posterior,,-46362 (-46408 -46309),-46386 (-46448 -46335),-46389 (-46440 -46315),-46366 (-46406 -46327),-46392 (-46443 -46348),-46320 (-46360 -46282)
Tree height,,0.403 (0.343 0.481),0.372 (0.332 0.436),0.420 (0.365 0.479),0.386 (0.338 0.437),0.448 (0.394 0.513),0.407 (0.345 0.462)
Clock rate,"Uniform(5.0e-4, 2.0e-3)",5.88e-04 (5.02e-04 6.84e-04),6.95e-04 (6.05e-04 7.90e-04),5.98e-04 (5.33e-04 6.78e-04),6.72e-04 (5.92e-04 7.67e-04),5.63e-04 (5.07e-04 6.26e-04),6.75e-04 (5.99e-04 7.61e-04)
κ,"Lognormal(M=1.0, SD=1.25)",3.720 (3.040 4.437),3.746 (3.161 4.564),3.720 (3.157 4.495),3.742 (3.080 4.457),3.689 (3.102 4.437),3.710 (3.060 4.430)
γ,Exponential(M=1.0),3.81e-02 (1.49e-03 9.29e-02),3.81e-02 (1.03e-03 9.05e-02),3.58e-02 (1.46e-03 8.77e-02),3.73e-02 (1.14e-03 8.87e-02),3.84e-02 (1.13e-03 8.68e-02),3.46e-02 (1.01e-03 8.56e-02)
R₀,"Lognormal(M=1.5, SD=0.5)",3.21 (2.88 3.81),2.57 (2.30 2.73),2.29 (2.16 2.49),2.12 (1.94 2.30),2.13 (1.97 2.33),2.58 (2.55 2.61)
α,"Uniform(0.0, 2.0)",0.40 (0.08 1.66),0.27 (0.09 0.52),0.31 (0.08 0.63),0.23 (0.08 0.47),0.15 (0.04 0.37),0.13 (0.04 0.28)
E₀,Expoenential(M=1.0),15.55 (7.93 22.68),11.41 (9.24 22.78),19.02 (11.83 21.32),10.18 (8.48 12.60),5.71 (4.56 6.65),1.04 (0.94 1.08)
Y₀,Exponential(M=1.0),1.61e-02 (4.48e-03 6.10e-02),7.21e-03 (2.92e-03 2.77e-02),3.11e-02 (7.87e-03 8.11e-02),1.29e-02 (5.67e-03 2.46e-02),6.18e-02 (3.19e-02 1.34e-01),1.50e-02 (5.48e-03 3.90e-02)
